call,children_present,activist,resistance,authority,urbanicity,income,minimum_wage,care,teaparty,veteran,age,gender,marital_status
0,-0.14468795,0.75626051,1.233285996,1.876976186,-0.543272743,-0.230842695,1.326467287,1.028308488,-0.21814721,1.349873752,1.485543879,Male,Unmarried
0,-0.261055544,-2.072186291,-0.944665877,0.41086937,-0.506101928,-1.548288936,0.4978157,-1.202851791,0.758228218,1.469227917,0.88685184,Male,Unmarried
0,-0.368508729,0.312103449,-0.23526848,1.649065151,-1.92394495,0.155010809,-0.779680707,-1.068648646,-0.249822352,1.200633277,0.306981802,Male,Married
0,-1.757628462,0.01844789,-0.980186473,0.491081694,0.327646288,-0.164518863,-1.617276916,0.728978347,1.511391219,0.121567158,1.304069405,Female,Married
0,-0.158418292,0.46869208,1.242878522,-0.487099468,0.162339619,-0.002396202,1.765316946,1.00744536,-1.538756998,-1.892531991,0.137001525,Female,Unmarried
0,0.118477133,-0.814050157,-2.116502056,-0.054461679,-1.932206081,-1.211529194,-2.296806014,-0.415463668,1.823770922,0.616523548,-1.294009266,Male,Unmarried
0,-0.186539344,-0.698804311,-1.038394564,0.321635318,-0.044404656,-0.839547506,0.520840158,0.317680758,0.561580025,0.099557118,2.79681621,Female,Married
0,0.445545678,-0.240391738,-0.23526848,-1.005281192,1.653929289,0.398421206,-2.095788282,-0.739769081,1.923118358,0.793904712,0.024762754,Male,NA
0,-0.00627618,1.038966196,-0.469509829,-0.695573926,-0.451873444,0.123877738,-0.003797298,-1.863399425,-0.680418584,1.095047704,-1.988288261,Male,Married
0,-1.336724537,-0.088538332,-0.631169233,1.850708353,0.176866905,-0.131685264,-0.694615654,1.028308488,1.939305821,0.601356333,1.729894064,Female,Married
0,1.471219431,-0.07608327,-0.829225768,1.94698669,-0.434332958,0.970822529,-0.63373416,1.228111028,0.791977611,-0.269682897,-0.360903303,Female,Married
0,0.654995802,-1.916029782,-2.003912414,-2.295191108,1.220820168,-1.302042787,-1.164917745,-0.597133335,0.459152939,0.368395262,-1.391615596,Male,Unmarried
0,-0.622135607,-0.66109452,0.3990997,0.597889718,0.256856202,0.308267047,-2.518302582,-0.845143705,1.62524124,1.365025142,0.769310079,Male,Married
0,-1.555568102,-0.248963176,0.210322956,0.606783186,-0.692015176,-0.958265813,-1.098009944,-1.009128982,0.34749213,1.458423104,1.668555561,Male,Unmarried
0,-0.00627618,0.014372228,-1.274634538,-0.045481346,0.902170699,0.123877738,-0.003797298,-1.697801115,1.340142425,1.050629702,-0.629098675,Male,Married
0,-0.683214571,-1.065741393,-0.551251395,-0.895755361,0.239646367,0.887763028,-0.115978001,-0.031620562,-0.813888408,1.401294546,0.594440765,Male,Unmarried
0,-0.461246145,0.990305175,1.195049222,0.970495781,0.173519062,1.347593854,0.829615121,-0.668754179,-1.446470113,1.389870023,0.478847648,Male,Married
